County,pct_rur_10,pop_10,pop_00,pop_90,pop_80,pop_70,hsg_10,hsg_00,hsg_90,hsg_80,hsg_70,lat,long,ind_dis,land_sqmi,pop_den,hsg_den,pct_dpop_00,pct_dpop_90,pct_dhsg_80,pct_dhsg_90,pct_dhsg_00,pct_dpop_80,h_sold_07,h_sold_08,h_sold_09,h_sold_10,h_sold_11,h_sold_12,h_sold_13,h_sold_14,h_sold_15,h_sold_16,med_07,med_08,med_09,med_10,med_11,med_12,med_13,med_14,med_15,med_16,fm_cnt_12,fm_cnt_07,lnd_acr_12,lnd_acr_07,avg_acr_12,avg_acr_07,lnd_val_12,lnd_val_07,k_12,k_07,avg_fm_12,avg_fm_07,avg_usd_12,avg_usd_07,fm_val_049_12,fm_val_050_12,fm_val_100_12,fm_val_200_12,fm_val_500_12,fm_val_01k_12,fm_val_02k_12,fm_val_05k_12,fm_val_10k_12,lnd_apx_12,lnd_pct_12,sz_fm_009_12,sz_acr_009_12,sz_fm_010_12,sz_acr_010_12,sz_fm_050_12,sz_acr_050_12,sz_fm_070_12,sz_acr_070_12,sz_fm_100_12,sz_acr_100_12,sz_fm_140_12,sz_acr_140_12,sz_fm_180_12,sz_acr_180_12,sz_fm_220_12,sz_acr_220_12,sz_fm_260_12,sz_acr_260_12,sz_fm_500_12,sz_acr_500_12,sz_fm_01k_12,sz_acr_01k_12,sz_fm_02k_12,sz_acr_02k_12,sz_fm_009_07,sz_acr_009_07,sz_fm_010_07,sz_acr_010_07,sz_fm_050_07,sz_acr_050_07,sz_fm_070_07,sz_acr_070_07,sz_fm_100_07,sz_acr_100_07,sz_fm_140_07,sz_acr_140_07,sz_fm_180_07,sz_acr_180_07,sz_fm_220_07,sz_acr_220_07,sz_fm_260_07,sz_acr_260_07,sz_fm_500_07,sz_acr_500_07,sz_fm_01k_07,sz_acr_01k_07,sz_fm_02k_07,sz_acr_02k_07,cp_fm_12,cp_fm_07,cp_acr_12,cp_acr_07,cp_hvt_fm_12,cp_hvt_fm_07,cp_hvt_acr_12,cp_hvt_acr_07,cp_gz_fm_12,cp_gz_fm_07x,cp_gz_acr_12,cp_gz_acr_07x,cp_ot_fm_12,cp_ot_fm_07,cp_ot_acr_12,cp_ot_acr_07,cp_id_fm_12,cp_id_fm_07,cp_id_acr_12,cp_id_acr_07,cp_fl_fm_12,cp_fl_fm_07,cp_fl_acr_12,cp_fl_acr_07,cp_sm_fm_12,cp_sm_fm_07,cp_sm_acr_12,cp_sm_acr_07,wd_fm_12,wd_fm_07,wd_acr_12,wd_acr_07,wd_p1_fm_12,wd_p1_fm_07,wd_p1_acr_12,wd_p1_acr_07,wd_p0_fm_12,wd_p0_fm_07,wd_p0_acr_12,wd_p0_acr_07,ps_rg_fm_12,ps_rg_fm_07,ps_rg_acr_12,ps_rg_acr_07,bdg_fm_12,bdg_fm_07,bdg_acr_12,bdg_acr_07,pst_fm_12,pst_fm_07,pst_acr_12,pst_acr_07,cnv_fm_12,cnv_fm_07,cnv_acr_12,cnv_acr_07,ins_fm_12,ins_fm_07,ins_acr_12,ins_acr_07,cp_ot_fm_02,cp_ot_acr_02,cp_id_fm_02,cp_id_acr_02,cp_fl_fm_02,cp_fl_acr_02,cp_sm_fm_02,cp_sm_acr_02,wd_fm_02,wd_acr_02,wd_p1_fm_02,wd_p1_acr_02
franklin,69.6,41052,39270,34725,31983,27289,18697,16813,13717,11583,8781,35.12,-86.18,11911.426963700002,554.54,74.0,33.7,4.5,13.1,8.6,11.2,22.6,18.4,35,34,22,10,7,14,22,26,22,27,155000.0,138500.0,149500.0,156400,172000.0,121900.0,120950.0,129000.0,162652.5,152500.0,861.0,1104.0,125339.0,144252.0,146.0,131.0,861.0,1104.0,488396.0,538402.0,567242.0,487683.0,3897.0,3732.0,69.0,83.0,178.0,296.0,131.0,53.0,40.0,9.0,2.0,354917.0,35.3,60.0,311.0,353.0,9826.0,83.0,4847.0,91.0,7346.0,89.0,10426.0,28.0,4273.0,27.0,5303.0,19.0,4509.0,65.0,22281.0,23.0,15098.0,15.0,20493.0,8.0,20626.0,92.0,423.0,470.0,12312.0,108.0,6360.0,133.0,10892.0,89.0,10255.0,36.0,5486.0,26.0,5057.0,23.0,5409.0,68.0,24496.0,35.0,22880.0,18.0,26016.0,6.0,14666.0,643.0,833.0,74761.0,93141.0,602.0,716.0,67867.0,70975.0,65.0,246.0,4582.0,14877.0,90.0,126.0,2312.0,7289.0,70.0,79.0,1910.0,3054.0,20.0,54.0,398.0,4224.0,4.0,4.0,4.0,11.0,454.0,519.0,19062.0,17387.0,220.0,277.0,4819.0,6369.0,304.0,312.0,14243.0,11018.0,572.0,663.0,28277.0,30876.0,479.0,456.0,3239.0,2848.0,612.0,854.0,37678.0,52122.0,24.0,31.0,953.0,1316.0,65.0,104.0,35370.0,45350.0,147.0,4205.0,122.0,3267.0,39.0,938.0,1.0,12.0,507.0,18161.0,255.0,5206.0
gibson,47.7,49683,48154,46315,49467,47871,21999,21060,19635,19577,17103,36.19,-89.01,14624.5836852,602.74,82.4,36.5,3.2,4.0,-6.4,4.5,7.3,0.3,149,150,91,80,69,53,60,48,42,46,156500.0,151200.0,151200.0,138990,139900.0,148000.0,149450.0,164900.0,187400.0,209950.0,830.0,1049.0,286178.0,286769.0,345.0,273.0,830.0,1049.0,884313.0,734115.0,1065438.0,699824.0,3090.0,2560.0,81.0,133.0,212.0,230.0,57.0,32.0,30.0,38.0,17.0,385757.0,74.2,33.0,156.0,299.0,8481.0,103.0,5950.0,84.0,6868.0,80.0,8803.0,42.0,6585.0,25.0,4937.0,15.0,3578.0,39.0,13940.0,35.0,25962.0,35.0,51901.0,40.0,149017.0,51.0,256.0,334.0,9319.0,166.0,9551.0,140.0,11531.0,94.0,10613.0,49.0,7666.0,26.0,5138.0,14.0,3294.0,65.0,22428.0,38.0,26661.0,35.0,51305.0,37.0,129007.0,697.0,890.0,250220.0,250270.0,510.0,558.0,233713.0,211202.0,58.0,231.0,5420.0,16245.0,269.0,344.0,11087.0,22823.0,258.0,318.0,10867.0,17069.0,17.0,35.0,680.0,5754.0,1.0,3.0,5.0,38.0,343.0,367.0,11308.0,11636.0,108.0,132.0,2136.0,2749.0,269.0,269.0,9172.0,8887.0,362.0,391.0,20234.0,17587.0,484.0,436.0,4416.0,7276.0,413.0,561.0,27790.0,36581.0,217.0,344.0,7855.0,17811.0,155.0,190.0,181995.0,162007.0,360.0,17740.0,339.0,15932.0,33.0,1808.0,6.0,145.0,377.0,12441.0,142.0,3535.0
giles,73.7,29485,29447,25741,24625,22138,13844,13113,10828,9557,7966,35.04,-86.82,7518.91422463,610.93,48.3,22.7,0.1,14.4,4.5,5.6,21.1,13.3,14,11,14,9,8,3,6,8,10,12,112500.0,103000.0,121500.0,145000,108000.0,99000.0,154500.0,120600.0,137194.5,137500.0,1692.0,1789.0,270089.0,261411.0,160.0,146.0,1692.0,1789.0,793543.0,827124.0,468997.0,462339.0,2938.0,3164.0,45.0,138.0,379.0,718.0,271.0,87.0,43.0,9.0,2.0,390994.0,69.1,44.0,198.0,445.0,13063.0,204.0,11791.0,215.0,18087.0,205.0,23836.0,136.0,21478.0,114.0,22601.0,76.0,18113.0,179.0,62733.0,46.0,31283.0,21.0,27158.0,7.0,19748.0,66.0,376.0,547.0,14690.0,200.0,11467.0,234.0,19242.0,209.0,24256.0,120.0,18993.0,81.0,16030.0,77.0,18263.0,177.0,62770.0,56.0,37910.0,15.0,20054.0,7.0,17360.0,1154.0,1273.0,88375.0,103973.0,1017.0,1027.0,72776.0,65122.0,145.0,425.0,9977.0,29427.0,174.0,225.0,5622.0,9424.0,148.0,166.0,4834.0,6461.0,30.0,69.0,788.0,2963.0,4.0,6.0,5.0,6.0,1162.0,1050.0,62805.0,54030.0,798.0,734.0,38082.0,34695.0,555.0,467.0,24723.0,19335.0,1349.0,1259.0,111043.0,95220.0,1022.0,721.0,7866.0,8188.0,1449.0,1565.0,159102.0,159342.0,59.0,82.0,2116.0,4463.0,55.0,129.0,23511.0,24830.0,196.0,6509.0,163.0,5945.0,40.0,564.0,1.0,12.0,1138.0,56198.0,849.0,35978.0
grainger,100.0,22657,20659,17095,16751,13948,10894,9732,7501,7082,4951,36.34,-83.28,36891.598144999996,280.6,80.7,38.8,9.7,20.8,2.1,11.9,29.7,5.9,16,12,7,2,2,1,3,4,9,9,200000.0,173960.0,146000.0,142500,171000.0,150000.0,161000.0,136000.0,160000.0,154100.0,885.0,1008.0,85222.0,91862.0,96.0,91.0,885.0,1008.0,324119.0,347772.0,366237.0,345012.0,3803.0,3786.0,72.0,90.0,191.0,354.0,123.0,47.0,7.0,1.0,1.0,179584.0,47.5,35.0,17.0,325.0,8943.0,136.0,7938.0,110.0,9120.0,101.0,11766.0,42.0,6532.0,45.0,8837.0,20.0,4804.0,64.0,21818.0,5.0,2916.0,2.0,20493.0,1.0,9652.0,63.0,699.0,397.0,10841.0,137.0,7856.0,97.0,7892.0,96.0,11182.0,69.0,10921.0,60.0,11788.0,21.0,5135.0,60.0,20604.0,7.0,4406.0,1.0,8532.0,18.0,18238.0,659.0,867.0,25816.0,39805.0,606.0,717.0,19507.0,20745.0,91.0,359.0,4906.0,16338.0,90.0,132.0,1403.0,2722.0,73.0,87.0,1037.0,1895.0,20.0,43.0,363.0,811.0,3.0,7.0,3.0,16.0,591.0,613.0,22269.0,22633.0,364.0,378.0,8331.0,8265.0,361.0,353.0,13938.0,14368.0,690.0,655.0,33618.0,25822.0,537.0,455.0,3519.0,3602.0,747.0,853.0,46855.0,50425.0,160.0,4.0,346.0,608.0,12.0,26.0,276.0,765.0,201.0,3749.0,166.0,3224.0,58.0,495.0,11.0,30.0,753.0,29023.0,473.0,10551.0
greene,65.2,68831,62909,55853,54422,47630,32025,28116,23270,21132,16024,36.23,-82.75,2206.55710194,622.16,110.6,51.5,9.4,12.6,2.6,13.9,20.8,10.1,70,61,33,29,22,12,15,13,16,22,150950.0,136600.0,133500.0,148320,146263.5,151400.0,169000.0,147000.0,165000.0,193250.0,2529.0,3061.0,226003.0,229204.0,89.0,75.0,2529.0,3061.0,915686.0,978616.0,362074.0,319705.0,4052.0,4270.0,158.0,205.0,642.0,1019.0,357.0,112.0,34.0,1.0,1.0,398183.0,56.8,139.0,75.0,1121.0,30689.0,314.0,18173.0,243.0,20215.0,225.0,26211.0,181.0,28288.0,101.0,19928.0,59.0,14165.0,111.0,38678.0,25.0,15363.0,9.0,11173.0,1.0,74952.0,254.0,1404.0,1484.0,39481.0,347.0,20086.0,303.0,24883.0,242.0,28509.0,145.0,22503.0,99.0,19504.0,42.0,9865.0,111.0,38623.0,29.0,18555.0,5.0,5791.0,6.0,105168.0,2053.0,2580.0,90806.0,118582.0,1928.0,2239.0,78350.0,75957.0,235.0,1006.0,7332.0,35133.0,279.0,347.0,5124.0,7492.0,244.0,229.0,4296.0,4874.0,39.0,124.0,823.0,2605.0,5.0,5.0,5.0,13.0,1564.0,1665.0,39272.0,35353.0,933.0,987.0,14672.0,14660.0,943.0,963.0,24600.0,20693.0,1980.0,1938.0,86456.0,66837.0,1618.0,1505.0,9469.0,8432.0,2087.0,2572.0,108460.0,116630.0,8.0,6.0,148.0,168.0,47.0,62.0,6891.0,3082.0,510.0,7267.0,422.0,5786.0,114.0,1411.0,18.0,70.0,1919.0,40427.0,1140.0,16426.0
grundy,100.0,13703,14332,13362,13787,10631,6397,6282,5155,5137,3571,35.42,-85.72,23268.535078099998,360.53,38.0,17.7,-4.4,7.3,-3.1,1.8,21.9,0.4,1,6,0,2,1,1,3,1,1,0,205000.0,104500.0,0.0,139500,280000.0,120000.0,45000.0,15000.0,163000.0,0.0,278.0,328.0,33075.0,42668.0,119.0,130.0,278.0,328.0,94740.0,138323.0,340792.0,421717.0,2864.0,3242.0,28.0,38.0,85.0,92.0,19.0,9.0,6.0,1.0,7.0,230750.0,14.3,14.0,66.0,103.0,6535.0,29.0,1653.0,43.0,3470.0,30.0,3410.0,7.0,1079.0,19.0,3782.0,4.0,4620.0,22.0,7870.0,3.0,1992.0,3.0,4100.0,1.0,74952.0,23.0,109.0,131.0,3378.0,40.0,2375.0,39.0,3183.0,28.0,3139.0,15.0,2342.0,7.0,1354.0,4.0,951.0,20.0,7175.0,16.0,11118.0,5.0,7544.0,1.0,86711.0,198.0,239.0,14245.0,22137.0,179.0,189.0,11541.0,14044.0,14.0,78.0,1870.0,5154.0,35.0,43.0,834.0,2939.0,27.0,25.0,713.0,1444.0,9.0,21.0,41.0,1495.0,1.0,3.0,5.0,5.0,181.0,186.0,9041.0,9801.0,72.0,90.0,1353.0,1454.0,142.0,152.0,7688.0,8347.0,188.0,178.0,8243.0,9127.0,198.0,169.0,1546.0,1603.0,199.0,236.0,11466.0,15735.0,4.0,3.0,160.0,62.0,5.0,18.0,2349.0,4400.0,62.0,1472.0,54.0,1355.0,12.0,117.0,5.0,14.0,205.0,12033.0,82.0,1864.0
hamblen,21.9,62544,58128,50480,49300,38696,26963,24693,20514,18464,12716,36.15,-83.2,19232.524960400002,161.18,388.0,167.3,7.6,15.2,2.4,9.2,20.4,11.1,78,71,35,20,8,15,22,22,30,29,175950.0,174900.0,155000.0,159650,123900.0,154900.0,187050.0,169100.0,163250.0,169000.0,569.0,715.0,58837.0,69383.0,103.0,97.0,569.0,715.0,275466.0,264574.0,484122.0,370033.0,4682.0,3813.0,39.0,28.0,105.0,241.0,99.0,39.0,15.0,2.0,1.0,103155.0,57.0,33.0,177.0,248.0,6655.0,68.0,3873.0,60.0,4813.0,45.0,5216.0,33.0,5227.0,23.0,4516.0,15.0,3521.0,33.0,12214.0,5.0,3178.0,4.0,47655.0,2.0,67302.0,53.0,343.0,292.0,7735.0,83.0,4698.0,102.0,8220.0,60.0,7014.0,46.0,7253.0,18.0,3653.0,10.0,2413.0,35.0,13354.0,9.0,5590.0,7.0,9110.0,19.0,28110.0,433.0,589.0,27349.0,38874.0,404.0,496.0,22864.0,21468.0,41.0,234.0,2623.0,14823.0,65.0,75.0,1862.0,2583.0,59.0,56.0,1341.0,1895.0,9.0,23.0,373.0,688.0,2.0,3.0,51.0,11.0,289.0,350.0,6627.0,7250.0,181.0,246.0,3054.0,3760.0,157.0,163.0,3573.0,3490.0,440.0,463.0,22614.0,21601.0,355.0,311.0,2247.0,1658.0,461.0,634.0,28291.0,40184.0,1.0,184.0,567.0,7804.0,4.0,7.0,2597.0,57937.0,84.0,1451.0,58.0,732.0,27.0,719.0,11.0,31.0,327.0,7738.0,196.0,3170.0
hamilton,10.0,336463,307896,285536,287643,255077,151107,134692,122588,110287,87603,35.01,-85.0,8604.49007929,542.43,620.3,278.6,9.3,7.8,-0.7,12.2,9.9,11.2,414,620,164,451,292,580,603,632,674,784,169150.0,211500.0,212000.0,209900,212000.0,245510.0,259980.0,275000.0,279950.0,290000.0,561.0,669.0,52307.0,54599.0,93.0,82.0,561.0,669.0,295743.0,296950.0,527171.0,443871.0,5654.0,5439.0,37.0,54.0,71.0,219.0,107.0,52.0,18.0,3.0,3.0,347156.0,15.1,44.0,57.0,258.0,6953.0,74.0,4301.0,48.0,3934.0,41.0,4779.0,33.0,5168.0,12.0,2388.0,11.0,2651.0,22.0,7683.0,13.0,6969.0,3.0,3086.0,2.0,9652.0,80.0,840.0,302.0,7932.0,66.0,3823.0,73.0,6049.0,52.0,5873.0,26.0,4107.0,17.0,3340.0,9.0,2151.0,29.0,9925.0,14.0,9449.0,1.0,7728.0,3.0,6825.0,378.0,461.0,19737.0,22521.0,326.0,373.0,14549.0,13026.0,38.0,143.0,3626.0,6793.0,75.0,88.0,1562.0,2702.0,67.0,57.0,1393.0,1610.0,9.0,36.0,169.0,1092.0,2.0,7.0,4.0,13.0,330.0,361.0,13475.0,14480.0,162.0,202.0,3360.0,4200.0,243.0,236.0,10115.0,10280.0,384.0,416.0,16292.0,15544.0,362.0,296.0,2803.0,2054.0,422.0,529.0,23278.0,26537.0,1.0,314.0,640.0,16516.0,3.0,6.0,360.0,97.0,81.0,2034.0,72.0,1779.0,10.0,255.0,1.0,16.0,394.0,16643.0,187.0,5180.0
hancock,100.0,6819,6780,6739,6887,6719,3624,3277,2890,2686,2303,36.57,-83.06,22833.616255200002,222.34,30.7,16.3,0.6,0.7,-2.1,10.6,13.5,7.6,2,0,1,0,1,0,0,0,0,0,61250.0,0.0,69900.0,0,67500.0,0.0,0.0,0.0,0.0,0.0,457.0,462.0,64395.0,60646.0,141.0,131.0,457.0,462.0,147915.0,179207.0,323666.0,387894.0,2297.0,2955.0,40.0,76.0,116.0,161.0,39.0,19.0,5.0,1.0,1.0,142289.0,45.3,8.0,35.0,124.0,4304.0,59.0,3449.0,68.0,5630.0,48.0,5490.0,31.0,4916.0,38.0,7512.0,19.0,4390.0,42.0,14824.0,19.0,13055.0,1.0,6177.0,20.0,102365.0,32.0,123.0,114.0,3324.0,55.0,3277.0,63.0,5160.0,62.0,7119.0,37.0,5884.0,22.0,4398.0,14.0,2584.0,51.0,17822.0,10.0,6699.0,2.0,13563.0,1.0,6957.0,359.0,409.0,15608.0,23120.0,329.0,335.0,10970.0,11205.0,50.0,192.0,3507.0,10042.0,67.0,63.0,1131.0,1873.0,58.0,47.0,1009.0,1388.0,13.0,23.0,636.0,485.0,2.0,7.0,3.0,12.0,353.0,281.0,21370.0,16454.0,179.0,160.0,7182.0,5639.0,248.0,188.0,14188.0,10815.0,372.0,309.0,25461.0,19476.0,257.0,195.0,1956.0,1596.0,393.0,400.0,36150.0,35157.0,2.0,8.0,8726.0,3816.0,6.0,8.0,29.0,35.0,121.0,1754.0,112.0,1634.0,18.0,120.0,5.0,14.0,386.0,21836.0,209.0,6711.0
hardeman,80.2,27253,28105,23377,23873,22435,10851,10694,9174,8405,6473,35.26,-88.99,13429.551476299997,667.77,40.8,16.2,-3.0,20.2,-2.1,1.5,16.6,9.1,7,8,4,4,1,2,1,5,1,3,131500.0,122500.0,123500.0,127620,75000.0,124025.0,78000.0,119000.0,154000.0,169100.0,579.0,624.0,153804.0,147951.0,266.0,237.0,579.0,624.0,392888.0,366892.0,678563.0,587967.0,2554.0,2480.0,39.0,70.0,132.0,200.0,70.0,27.0,28.0,8.0,5.0,427357.0,36.0,14.0,70.0,126.0,3915.0,49.0,2897.0,64.0,5353.0,89.0,10259.0,51.0,7957.0,37.0,7367.0,25.0,5942.0,59.0,20689.0,39.0,25697.0,15.0,21213.0,11.0,42445.0,8.0,17.0,140.0,4373.0,75.0,4308.0,91.0,7490.0,81.0,9627.0,39.0,5996.0,41.0,8089.0,25.0,5940.0,64.0,22989.0,35.0,24088.0,16.0,21716.0,9.0,33318.0,448.0,497.0,78235.0,78720.0,289.0,290.0,53986.0,47493.0,65.0,169.0,11833.0,16034.0,225.0,200.0,12416.0,15193.0,207.0,187.0,11780.0,13737.0,26.0,20.0,636.0,1456.0,4.0,3.0,3.0,11.0,395.0,373.0,46938.0,36288.0,142.0,176.0,9166.0,8512.0,327.0,269.0,37772.0,27776.0,300.0,307.0,23404.0,28740.0,335.0,243.0,5227.0,4203.0,348.0,408.0,44403.0,53286.0,130.0,205.0,9938.0,13612.0,34.0,32.0,22234.0,27946.0,198.0,14473.0,182.0,13404.0,26.0,1069.0,2.0,70.0,365.0,41370.0,176.0,9600.0
hardin,67.9,26026,25578,22633,22280,18212,13946,12807,10275,8947,6474,35.03,-88.29,10404.143905399998,577.32,45.1,24.2,1.8,13.0,1.6,8.9,24.6,14.8,23,37,23,16,17,10,9,6,6,21,125000.0,130000.0,119800.0,171750,154500.0,145358.5,118600.0,142450.0,268500.0,133000.0,589.0,623.0,126166.0,109752.0,214.0,176.0,589.0,623.0,319336.0,279763.0,542166.0,449058.0,2531.0,2549.0,57.0,66.0,138.0,204.0,61.0,23.0,33.0,6.0,1.0,369492.0,34.1,15.0,102.0,157.0,4573.0,52.0,3045.0,73.0,6013.0,71.0,8401.0,42.0,6532.0,28.0,5558.0,18.0,4441.0,63.0,20611.0,46.0,30803.0,18.0,21869.0,6.0,14218.0,29.0,136.0,205.0,5793.0,58.0,3413.0,60.0,5048.0,65.0,7515.0,39.0,6176.0,30.0,5892.0,21.0,5005.0,65.0,21684.0,34.0,21603.0,14.0,19912.0,3.0,7575.0,458.0,476.0,59891.0,63483.0,369.0,304.0,46028.0,39973.0,41.0,157.0,4793.0,10505.0,134.0,164.0,9070.0,13005.0,122.0,132.0,7642.0,9327.0,16.0,40.0,1425.0,3678.0,3.0,2.0,3.0,11.0,409.0,330.0,37803.0,25414.0,136.0,161.0,5583.0,10412.0,318.0,231.0,32220.0,15002.0,374.0,314.0,25005.0,18491.0,357.0,262.0,3467.0,2364.0,409.0,440.0,35381.0,39408.0,92.0,135.0,7754.0,10453.0,48.0,38.0,25774.0,19831.0,206.0,12998.0,191.0,12499.0,26.0,378.0,1.0,14.0,370.0,29102.0,182.0,9372.0
hawkins,57.9,56833,53563,44565,43751,33757,26870,24416,18779,17016,10973,36.52,-82.71,26091.4549562,486.98,116.7,55.2,6.1,20.2,1.9,10.1,30.0,10.4,36,48,33,22,23,17,16,7,5,9,158609.0,142250.0,148000.0,168000,140000.0,129000.0,167500.0,140000.0,171600.0,168000.0,1437.0,1683.0,133351.0,151042.0,93.0,90.0,1437.0,1683.0,469715.0,549437.0,326872.0,326463.0,3522.0,3638.0,81.0,133.0,344.0,644.0,186.0,32.0,14.0,3.0,2.0,311676.0,42.8,69.0,79.0,544.0,15138.0,201.0,11703.0,201.0,16482.0,156.0,18029.0,90.0,14335.0,57.0,11271.0,29.0,6968.0,71.0,25382.0,17.0,11127.0,2.0,36861.0,13.0,55163.0,116.0,606.0,694.0,17902.0,180.0,10387.0,236.0,19839.0,154.0,18037.0,89.0,14100.0,60.0,11664.0,53.0,12763.0,76.0,27359.0,22.0,14084.0,3.0,4301.0,26.0,105168.0,1152.0,1423.0,42284.0,56334.0,1082.0,1240.0,34553.0,38235.0,139.0,484.0,4910.0,14364.0,160.0,184.0,2821.0,3735.0,124.0,123.0,2310.0,2342.0,45.0,68.0,507.0,1380.0,4.0,11.0,4.0,13.0,961.0,995.0,38833.0,41088.0,491.0,541.0,10941.0,12232.0,681.0,660.0,27892.0,28856.0,1147.0,1174.0,46729.0,48591.0,958.0,784.0,5505.0,5029.0,1220.0,1471.0,62580.0,75187.0,1.0,2.0,667.0,85.0,19.0,24.0,1448.0,638.0,351.0,5609.0,282.0,4907.0,85.0,690.0,5.0,12.0,1248.0,48551.0,627.0,14834.0
haywood,47.4,18787,19797,19437,20318,19596,8315,8086,7475,7045,6084,35.59,-89.25,13890.030071599998,533.11,35.2,15.6,-5.1,1.9,-4.3,2.8,8.2,6.1,10,5,5,8,0,3,2,1,4,1,106750.0,181500.0,115000.0,125000,0.0,260000.0,144000.0,259000.0,124750.0,123000.0,413.0,491.0,219384.0,214336.0,531.0,437.0,413.0,491.0,791531.0,518730.0,1916540.0,1056476.0,3608.0,2420.0,38.0,53.0,92.0,89.0,36.0,36.0,36.0,19.0,14.0,341192.0,64.3,15.0,98.0,114.0,3267.0,44.0,2546.0,34.0,2817.0,38.0,4481.0,19.0,2963.0,22.0,4372.0,9.0,2110.0,36.0,12754.0,25.0,18181.0,23.0,32440.0,34.0,133355.0,24.0,142.0,140.0,3979.0,72.0,4176.0,52.0,4230.0,40.0,4569.0,13.0,2131.0,17.0,3295.0,12.0,2882.0,28.0,10015.0,31.0,22412.0,38.0,57624.0,24.0,98881.0,369.0,411.0,197034.0,196282.0,228.0,248.0,183264.0,172784.0,20.0,102.0,1699.0,6941.0,182.0,196.0,12071.0,16557.0,176.0,156.0,11049.0,10838.0,8.0,46.0,172.0,5719.0,1.0,3.0,4.0,12.0,151.0,145.0,11038.0,8977.0,39.0,49.0,2207.0,1143.0,126.0,112.0,8831.0,7834.0,105.0,135.0,9000.0,6107.0,190.0,179.0,2312.0,2970.0,121.0,232.0,12906.0,14191.0,167.0,221.0,9095.0,14802.0,103.0,129.0,138854.0,146992.0,145.0,12916.0,129.0,11569.0,26.0,1347.0,1.0,145.0,131.0,12331.0,39.0,1098.0
henderson,76.4,27769,25522,21844,21390,17360,12776,11446,9278,8297,6187,35.63,-88.23,23274.1788492,520.07,53.4,24.6,8.8,16.8,2.1,11.6,23.4,11.8,26,18,15,13,6,7,3,3,7,5,105825.0,116250.0,113200.0,111050,150750.0,115750.0,149900.0,149000.0,151500.0,169900.0,844.0,1017.0,162261.0,165442.0,192.0,163.0,844.0,1017.0,358089.0,386950.0,424277.0,380482.0,2207.0,2339.0,112.0,125.0,210.0,236.0,96.0,36.0,22.0,5.0,2.0,332848.0,48.7,22.0,111.0,186.0,5642.0,105.0,6126.0,102.0,8624.0,122.0,14231.0,72.0,11532.0,63.0,12578.0,35.0,8497.0,82.0,29023.0,31.0,20963.0,18.0,22369.0,6.0,22565.0,32.0,144.0,262.0,7724.0,101.0,5858.0,136.0,11376.0,129.0,14501.0,91.0,14360.0,66.0,13191.0,43.0,10075.0,108.0,36922.0,31.0,21128.0,13.0,15823.0,5.0,14340.0,670.0,820.0,79823.0,86150.0,461.0,509.0,61127.0,54351.0,101.0,255.0,6747.0,13425.0,271.0,335.0,11949.0,18374.0,255.0,288.0,11269.0,14852.0,25.0,67.0,680.0,3513.0,2.0,3.0,3.0,9.0,538.0,611.0,36132.0,37561.0,217.0,286.0,8543.0,9126.0,411.0,456.0,27589.0,28435.0,510.0,552.0,40699.0,35692.0,554.0,467.0,5607.0,6039.0,581.0,711.0,55989.0,58243.0,173.0,311.0,8726.0,14605.0,39.0,37.0,15949.0,20834.0,373.0,17994.0,352.0,16907.0,38.0,67.0,1.0,12.0,645.0,42320.0,344.0,12202.0
henry,66.8,32330,31115,27888,28656,23749,17054,15783,13774,13494,9305,36.42,-88.17,18040.0559903,562.1,57.5,30.3,3.9,11.6,-2.7,8.1,14.6,2.1,13,26,19,16,9,9,6,10,20,14,179000.0,162000.0,142000.0,169500,131000.0,127150.0,130000.0,125150.0,149000.0,134975.0,826.0,958.0,204557.0,193416.0,248.0,202.0,826.0,958.0,568540.0,524643.0,688305.0,547644.0,2779.0,2713.0,60.0,91.0,191.0,267.0,104.0,49.0,42.0,16.0,6.0,359743.0,56.9,21.0,107.0,230.0,6535.0,95.0,5406.0,100.0,8291.0,76.0,8994.0,72.0,11223.0,43.0,8325.0,32.0,7619.0,68.0,23349.0,53.0,37710.0,23.0,31835.0,13.0,55163.0,42.0,186.0,252.0,7103.0,100.0,5834.0,162.0,13268.0,123.0,14455.0,65.0,10032.0,27.0,5400.0,37.0,8745.0,79.0,28089.0,43.0,30368.0,16.0,22690.0,12.0,47246.0,643.0,767.0,131596.0,126517.0,505.0,553.0,112965.0,92084.0,78.0,225.0,7309.0,15768.0,235.0,309.0,11322.0,18665.0,220.0,231.0,10206.0,10991.0,25.0,98.0,1116.0,7674.0,2.0,4.0,7.0,12.0,534.0,540.0,36067.0,32547.0,209.0,253.0,7328.0,7002.0,427.0,384.0,28739.0,25545.0,476.0,446.0,30963.0,30792.0,537.0,443.0,5931.0,3560.0,520.0,621.0,45600.0,53562.0,186.0,264.0,9525.0,12994.0,105.0,139.0,76095.0,60304.0,356.0,16465.0,343.0,15904.0,34.0,561.0,11.0,30.0,606.0,36734.0,258.0,6898.0
