,zipcode,primary_city,acceptable_cities,unacceptable_cities,county,latitude,longitude
16463,37640,butler,,,johnson,36.31,-82.0
16464,37641,chuckey,,Chucky,greene,36.24,-82.71
16465,37642,church_hill,,,hawkins,36.52,-82.71
16466,37643,elizabethton,,,carter,36.33,-82.23
16467,37644,elizabethton,,,carter,36.33,-82.23
16468,37645,mount_carmel,"Church Hill, Mt Carmel",,hawkins,36.56,-82.65
16469,37650,erwin,,,unicoi,36.14,-82.41
16470,37656,fall_branch,,,washington,36.41,-82.62
16471,37657,flag_pond,,,unicoi,36.01,-82.56
16472,37658,hampton,,,carter,36.28,-82.17
16473,37659,jonesborough,,Jonesboro,washington,36.29,-82.47
16474,37660,kingsport,Bloomingdale,,sullivan,36.52,-82.55
16475,37662,kingsport,,,sullivan,36.52,-82.55
16476,37663,kingsport,"Colonial Heights, Colonial Hgts",,sullivan,36.46,-82.49
16477,37664,kingsport,,,sullivan,36.52,-82.5
16478,37665,kingsport,,,sullivan,36.58,-82.57
16479,37669,kingsport,,Kingsport Book,sullivan,36.52,-82.55
16480,37680,laurel_bloomery,Laurel Blmry,,johnson,36.58,-81.73
16481,37681,limestone,,,washington,36.22,-82.63
16482,37682,milligan_college,Milligan Coll,Milligan,carter,36.3,-82.29
16483,37683,mountain_city,,,johnson,36.47,-81.8
16484,37684,mountain_home,Mtn Home,,washington,36.3,-82.36
16485,37686,piney_flats,,,sullivan,36.44,-82.34
16486,37687,roan_mountain,,,carter,36.18,-82.07
16487,37688,shady_valley,,,johnson,36.51,-81.92
16488,37690,telford,,,washington,36.24,-82.54
16489,37691,trade,,,johnson,36.34,-81.74
16490,37692,unicoi,,,unicoi,36.19,-82.35
16491,37694,watauga,,,carter,36.36,-82.29
16492,37699,piney_flats,,Home Shopping Network,sullivan,36.44,-82.34
16493,37701,alcoa,,,blount,35.79,-83.97
16494,37705,andersonville,,,anderson,36.2,-84.04
16495,37707,arthur,,Harrogate,claiborne,36.54,-83.67
16496,37708,bean_station,,Tate Springs,grainger,36.34,-83.28
16497,37709,blaine,,,grainger,36.14,-83.69
16498,37710,briceville,Devonia,,anderson,36.16,-84.3
16499,37711,bulls_gap,,,hawkins,36.26,-83.07
16500,37713,bybee,,,cocke,36.04,-83.18
16501,37714,caryville,,,campbell,36.26,-84.3
16502,37715,clairfield,,,claiborne,36.54,-83.95
16503,37716,clinton,,,anderson,36.09,-84.13
16504,37717,clinton,,,anderson,36.09,-84.13
16505,37719,coalfield,,,morgan,36.02,-84.43
16506,37721,corryton,,,knox,36.12,-83.8
16507,37722,cosby,,,cocke,35.81,-83.25
16508,37723,crab_orchard,,,cumberland,35.9,-84.88
16509,37724,cumberland_gap,"Cumb Gap, Cumberland Gp",,claiborne,36.55,-83.71
16510,37725,dandridge,,,jefferson,36.02,-83.41
16511,37726,deer_lodge,,,morgan,36.21,-84.83
16512,37727,del_rio,,,cocke,35.91,-83.02
16513,37729,duff,La Follette,,campbell,36.52,-84.03
16514,37730,eagan,,,claiborne,36.55,-83.98
16515,37731,eidson,,,hawkins,36.5,-83.08
16516,37732,elgin,,,scott,36.33,-84.6
16517,37733,rugby,Elgin,,morgan,36.35,-84.7
16518,37737,friendsville,,,blount,35.75,-84.13
16519,37738,gatlinburg,,,sevier,35.72,-83.49
16520,37742,greenback,,,loudon,35.65,-84.17
16521,37743,greeneville,Tusculum Coll,Baileyton,greene,36.07,-82.86
16522,37744,greeneville,,,greene,36.16,-82.81
16523,37745,greeneville,Tusculum,Baileyton,greene,36.16,-82.81
16524,37748,harriman,,"Emory Gap, Midtown",roane,35.93,-84.56
16525,37752,harrogate,,,claiborne,36.56,-83.54
16526,37753,hartford,,,cocke,35.81,-83.14
16527,37754,heiskell,,,anderson,36.12,-84.04
16528,37755,helenwood,,New River,scott,36.43,-84.56
16529,37756,huntsville,,Norma,scott,36.41,-84.48
16530,37757,jacksboro,,,campbell,36.33,-84.19
16531,37760,jefferson_city,Jefferson Cty,Jeff City,jefferson,36.11,-83.48
16532,37762,jellico,,,campbell,36.57,-84.12
16533,37763,kingston,,,roane,35.87,-84.51
16534,37764,kodak,,,sevier,35.97,-83.62
16535,37765,kyles_ford,,,hancock,36.57,-83.06
16536,37766,la_follette,Morley,Lafollette,campbell,36.37,-84.12
16537,37769,lake_city,,,anderson,36.22,-84.15
16538,37770,lancing,,,morgan,36.15,-84.69
16539,37771,lenoir_city,,,loudon,35.8,-84.27
16540,37772,lenoir_city,,,loudon,35.79,-84.22
16541,37773,lone_mountain,,,claiborne,36.38,-83.58
16542,37774,loudon,,,loudon,35.73,-84.35
16543,37777,louisville,,Mcghee Tyson Ang Base,blount,35.82,-84.04
16544,37778,lowland,,Morristown,hamblen,36.15,-83.2
16545,37779,luttrell,,,union,36.2,-83.74
16546,37801,maryville,,,blount,35.66,-84.09
16547,37802,maryville,,,blount,35.74,-83.97
16548,37803,maryville,,,blount,35.74,-83.97
16549,37804,maryville,,,blount,35.79,-83.89
16550,37806,mascot,,,knox,36.08,-83.73
16551,37807,maynardville,,,union,36.24,-83.8
16552,37809,midway,,,greene,36.16,-83.04
16553,37810,mohawk,,,greene,36.18,-83.12
16554,37811,mooresburg,,,hawkins,36.34,-83.22
16555,37813,morristown,,,hamblen,36.21,-83.29
16556,37814,morristown,,,hamblen,36.23,-83.34
16557,37815,morristown,,,hamblen,36.21,-83.29
16558,37816,morristown,,,hamblen,36.21,-83.29
16559,37818,mosheim,,,greene,36.19,-82.95
16560,37819,newcomb,,,campbell,36.54,-84.2
16561,37820,new_market,,,jefferson,36.09,-83.55
16562,37821,newport,,,cocke,35.96,-83.19
16563,37822,newport,,,cocke,35.96,-83.19
16564,37824,new_tazewell,,,claiborne,36.43,-83.6
16565,37825,new_tazewell,,,claiborne,36.43,-83.6
16566,37826,niota,,,mcminn,35.51,-84.54
16567,37828,norris,,,anderson,36.21,-84.06
16568,37829,oakdale,,,morgan,36.01,-84.64
16569,37830,oak_ridge,,,anderson,35.96,-84.29
16570,37831,oak_ridge,,,anderson,35.96,-84.29
16571,37840,oliver_springs,Oliver Spgs,,roane,36.03,-84.32
16572,37841,oneida,,,scott,36.5,-84.51
16573,37843,parrottsville,,,cocke,36.0,-83.09
16574,37845,petros,,,morgan,36.09,-84.44
16575,37846,philadelphia,,,loudon,35.67,-84.4
16576,37847,pioneer,,,scott,36.46,-84.29
16577,37848,powder_springs,Powder Spgs,Washburn,grainger,36.24,-83.66
16578,37849,powell,,,knox,36.03,-84.02
16579,37851,pruden,,,claiborne,36.58,-83.91
16580,37852,robbins,,Glen Mary,scott,36.32,-84.57
16581,37853,rockford,,,blount,35.82,-83.93
16582,37854,rockwood,Ozone,Westel,roane,35.87,-84.67
16583,37857,rogersville,,,hawkins,36.4,-83.0
16584,37860,russellville,,,hamblen,36.25,-83.19
16585,37861,rutledge,,,grainger,36.27,-83.52
16586,37862,sevierville,Pigeon Forge,,sevier,35.78,-83.61
16587,37863,pigeon_forge,Sevierville,,sevier,35.79,-83.55
16588,37864,sevierville,Pigeon Forge,,sevier,35.89,-83.57
16589,37865,seymour,,,sevier,35.87,-83.77
16590,37866,sharps_chapel,,,union,36.34,-83.8
16591,37867,shawanee,,Harrogate,claiborne,36.57,-83.55
16592,37868,pigeon_forge,Sevierville,,sevier,35.79,-83.55
16593,37869,sneedville,,,hancock,36.53,-83.21
16594,37870,speedwell,,,claiborne,36.47,-83.81
16595,37871,strawberry_plains,Straw Plains,,jefferson,36.06,-83.68
16596,37872,sunbright,,Burrville,morgan,36.24,-84.67
16597,37873,surgoinsville,,,hawkins,36.47,-82.85
16598,37874,sweetwater,,,monroe,35.6,-84.46
16599,37876,sevierville,"Pigeon Forge, Pittman Center, Pittman Ctr",,sevier,35.89,-83.57
16600,37877,talbott,,,hamblen,36.14,-83.4
16601,37878,tallassee,,Happy Valley,blount,35.62,-83.89
16602,37879,tazewell,,,claiborne,36.45,-83.57
16603,37880,ten_mile,,,meigs,35.66,-84.66
16604,37881,thorn_hill,Treadway,,grainger,36.35,-83.41
16605,37882,townsend,,,blount,35.67,-83.75
16606,37885,vonore,,,monroe,35.59,-84.23
